function	runtime_calls	sql_refs	trigger_refs	granted_anon_auth	risk_tier
get_imo_recruiting_summary	1	0	0	1	keep
get_imo_submit_totals	3	0	0	1	keep
get_imo_targets	1	0	0	1	keep
get_imo_workflow_templates	0	0	0	1	external-risk
get_imos_with_system_automations	1	0	0	0	keep
get_knockout_conditions	0	6	0	1	keep
get_lead_purchase_stats	1	0	0	1	keep
get_lead_stats_by_vendor	1	0	0	1	keep
get_lead_stats_by_vendor_imo_aggregate	0	1	0	2	keep
get_lead_vendor_admin_overview	0	1	0	2	keep
get_lead_vendor_heat_metrics	0	0	0	1	external-risk
get_lead_vendor_policy_timeline	0	0	0	1	external-risk
get_lead_vendor_user_breakdown	0	1	0	2	keep
get_leaderboard_data	1	5	0	9	keep
get_license_expirations_for_check	0	0	0	0	candidate-high
get_message_stats	0	0	0	1	external-risk
get_module_progress_summary	1	0	0	0	keep
get_my_agency_id	0	46	0	1	keep
get_my_alert_rules	1	0	0	1	keep
get_my_daily_sales_logs	1	0	0	1	keep
get_my_imo_id	0	266	0	1	keep
get_my_notification_preferences	0	0	0	1	external-risk
get_my_scheduled_reports	1	0	0	0	keep
get_or_create_usage_tracking	0	2	0	1	keep
get_org_chart_data	1	0	0	1	keep
get_overrides_by_agency	1	0	0	0	keep
get_overrides_by_agent	1	0	0	0	keep
get_password_reminder_users	0	0	0	2	external-risk
get_pending_agency_request_count	0	0	0	0	candidate-high
get_pending_first_sale_logs	0	0	0	1	external-risk
get_pending_invitations_count	1	0	0	0	keep
get_pending_join_request_count	0	0	0	0	candidate-high
get_pipeline_template_for_user	0	0	0	0	candidate-high
get_plan_by_lemon_variant	0	1	0	1	keep
get_policies_for_lapse_check	0	2	0	0	keep
get_policies_paginated	0	0	0	0	candidate-high
get_policy_count	0	0	0	0	candidate-high
get_policy_counts_for_check	0	0	0	0	candidate-high
get_premium_matrices_for_imo	2	0	0	2	keep
get_product_commission_rate	0	0	0	0	candidate-high
get_product_rate	0	0	0	0	candidate-high
get_public_invitation_by_token	0	0	0	3	external-risk
get_public_landing_page_settings	1	0	0	2	keep
get_public_recruiter_info	0	0	0	2	external-risk
get_public_recruiting_theme	0	0	0	2	external-risk
get_recruiting_by_agency	1	0	0	1	keep
get_recruiting_by_recruiter	0	0	0	1	external-risk
get_recruiting_leads_stats	1	0	0	0	keep
get_role_permissions_with_inheritance	0	0	0	0	candidate-high
get_schedule_delivery_history	0	0	0	0	candidate-high
get_skill_radar_data	1	0	0	0	keep
get_slack_integrations_for_agency_hierarchy	0	1	0	1	keep
get_slack_leaderboard_with_periods	3	3	0	2	keep
get_stale_phase_recruits	0	0	0	0	candidate-high
get_submit_leaderboard	1	0	0	3	keep
get_sync_webhook_secret	0	0	0	0	candidate-high
get_team_analytics_data	1	0	0	4	keep
get_team_comparison_report	1	0	0	4	keep
get_team_leaderboard_data	1	5	0	12	keep
get_team_leaders_for_leaderboard	0	0	0	1	external-risk
get_templates_for_platform	0	0	0	1	external-risk
get_top_performers_report	1	1	0	1	keep
get_training_leaderboard	1	0	0	0	keep
get_upline_chain	1	0	0	1	keep
get_user_addons	0	0	0	0	candidate-high
get_user_carrier_performance	0	0	0	2	external-risk
get_user_client_ltv	1	0	0	2	keep
get_user_cohort_retention	1	0	0	2	keep
get_user_commission_aging	1	0	0	2	keep
get_user_commission_chargeback_summary	1	0	0	2	keep
get_user_commission_profile	0	0	0	0	candidate-high
get_user_daily_production	0	0	0	2	external-risk
get_user_expense_summary	1	0	0	2	keep
get_user_permissions	1	2	0	0	keep
get_user_product_performance	0	0	0	2	external-risk
get_user_production_velocity	1	0	0	2	keep
get_user_profile	0	0	0	0	candidate-high
get_user_subscription_tier	0	2	0	1	keep
get_user_upline_and_recruiter_ids	0	2	0	1	keep
get_uw_wizard_usage	1	1	0	0	keep
get_valid_users_for_rule	0	4	0	0	keep
get_vendors_with_stats	1	0	0	2	keep
get_workflow_email_usage	0	0	0	1	external-risk
getuser_commission_profile	3	4	0	8	keep
graduate_recruit_to_agent	1	0	0	3	keep
hard_delete_user	0	0	0	0	candidate-high
has_downlines	1	0	0	1	keep
has_permission	1	0	0	0	keep
has_role	1	2	0	0	keep
has_subscription_bypass	0	0	0	1	external-risk
health_class_rank	0	0	0	0	candidate-high
hierarchy_path_array	0	1	0	0	keep
increment_email_quota	0	0	0	0	candidate-high
increment_template_usage	0	0	0	1	external-risk
increment_template_use_count	3	0	0	1	keep
increment_usage	1	0	0	1	keep
increment_uw_wizard_usage	0	0	0	0	candidate-high
invoke_slack_auto_complete_first_sale	0	1	0	0	keep
is_admin	0	2	0	1	keep
is_admin_user	1	0	0	0	keep
is_agency_owner	0	31	0	2	keep
is_agency_owner_of	0	18	0	1	keep
is_caller_admin	0	0	0	0	candidate-high
is_contact_favorited	0	0	0	0	candidate-high
is_direct_downline_of_owner	0	0	0	2	external-risk
is_elevenlabs_available	1	0	0	1	keep
is_imo_admin	0	213	0	1	keep
is_imo_admin_for	0	14	0	0	keep
is_imo_staff_role	0	12	0	1	keep
is_same_agency	0	0	0	1	external-risk
is_same_imo	0	0	0	1	external-risk
is_staff_role	0	8	0	0	keep
is_super_admin	0	156	0	1	keep
is_training_hub_staff	0	73	0	0	keep
is_training_module_manager	0	0	0	0	candidate-high
is_underwriting_wizard_enabled	0	0	0	1	external-risk
is_upline_of	0	18	0	3	keep
is_user_approved	0	0	0	0	candidate-high
log_audit_event	1	0	0	1	keep
lookup_user_by_email	0	0	0	0	candidate-high
mark_invitation_sent	1	0	0	0	keep
mark_policy_cancelled	0	0	0	0	candidate-high
mark_policy_lapsed	0	0	0	0	candidate-high
mark_thread_read	0	0	0	1	external-risk
merge_vendors	1	0	0	1	keep
normalize_email_subject	0	1	0	1	keep
process_lemon_subscription_event	0	0	0	1	external-risk
process_pending_workflow_runs	0	0	0	0	candidate-high
process_workflow_trigger	0	0	0	0	candidate-high
rank_to_health_class	0	0	0	0	candidate-high
recalculate_lead_purchase_roi	0	0	0	0	candidate-high
record_alert_evaluation	2	0	0	1	keep
record_email_click	0	0	0	1	external-risk
record_email_open	0	0	0	1	external-risk
record_lemon_payment	1	0	0	1	keep
record_workflow_email	2	0	0	1	keep
refresh_all_report_materialized_views	0	0	0	0	candidate-high
regenerate_override_commissions	0	1	0	0	keep
reject_acceptance_rule	0	0	0	1	external-risk
reject_agency_request	1	0	0	0	keep
reject_join_request	1	0	0	0	keep
reject_recruiting_lead	1	0	0	0	keep
reject_underwriting_rule_set	1	0	0	0	keep
release_alert_rules	2	0	0	0	keep
resend_recruit_invitation	1	0	0	0	keep
resolve_join_request_approver	0	1	0	0	keep
revert_rule_set_to_draft	1	0	0	0	keep
safe_uuid_from_text	0	8	0	0	keep
save_workflow_as_org_template	0	0	0	1	external-risk
search_users_for_assignment	1	0	0	1	keep
set_default_decision_tree	0	0	0	1	external-risk
set_leaderboard_title	0	0	0	1	external-risk
set_leaderboard_title_batch	1	0	0	1	keep
setup_baltimore_life_apriority_rules	0	1	0	0	keep
show_limit	0	0	0	0	candidate-high
show_trgm	0	0	0	0	candidate-high
submit_recruit_registration	0	0	0	6	external-risk
submit_recruiting_lead	1	0	0	4	keep
submit_rule_set_for_review	1	0	0	0	keep
submit_training_quiz_attempt	1	0	0	0	keep
table_rating_units	0	0	0	0	candidate-high
test_rls_for_user	0	0	0	0	candidate-high
toggle_alert_rule_active	1	0	0	1	keep
trigger_workflows_for_event	0	1	0	0	keep
unenroll_from_pipeline	1	0	0	1	keep
units_to_table_rating	0	0	0	0	candidate-high
update_alert_rule	1	0	0	1	keep
update_daily_leaderboard_title	0	0	0	1	external-risk
update_lead_discovery_call	1	0	0	2	keep
update_my_notification_preferences	0	0	0	1	external-risk
update_override_earned_amount	0	0	0	0	candidate-high
update_own_presentation	1	0	0	1	keep
update_scheduled_report	2	0	0	0	keep
update_training_streak	0	0	0	0	candidate-high
update_user_metadata	0	0	0	0	candidate-high
user_has_analytics_section	0	0	0	1	external-risk
user_has_feature	1	0	0	1	keep
user_has_instagram_access	0	1	0	1	keep
user_has_uw_wizard_access	1	1	0	0	keep
validate_field_requirements	0	1	0	0	keep
validate_hierarchy_change	1	0	0	1	keep
validate_invitation_acceptance	1	0	0	0	keep
validate_invitation_eligibility	1	0	0	1	keep
validate_report_date_range	0	5	0	1	keep
validate_schedule_recipients	0	2	0	0	keep
validate_social_links_urls	0	2	0	0	keep
validate_template_content_for_platform	0	0	0	1	external-risk
